from,to,forecast,actual,index
2025-06-20 12:30:00+00:00,2025-06-20 13:00:00+00:00,84,81,low
2025-06-20 13:00:00+00:00,2025-06-20 13:30:00+00:00,85,79,low
2025-06-20 13:30:00+00:00,2025-06-20 14:00:00+00:00,82,86,low
2025-06-20 14:00:00+00:00,2025-06-20 14:30:00+00:00,83,88,low
2025-06-20 14:30:00+00:00,2025-06-20 15:00:00+00:00,86,94,low
2025-06-20 15:00:00+00:00,2025-06-20 15:30:00+00:00,85,101,moderate
2025-06-20 15:30:00+00:00,2025-06-20 16:00:00+00:00,90,113,moderate
2025-06-20 16:00:00+00:00,2025-06-20 16:30:00+00:00,106,126,moderate
2025-06-20 16:30:00+00:00,2025-06-20 17:00:00+00:00,118,142,moderate
2025-06-20 17:00:00+00:00,2025-06-20 17:30:00+00:00,130,149,moderate
2025-06-20 17:30:00+00:00,2025-06-20 18:00:00+00:00,151,157,moderate
2025-06-20 18:00:00+00:00,2025-06-20 18:30:00+00:00,159,159,moderate
2025-06-20 18:30:00+00:00,2025-06-20 19:00:00+00:00,163,165,moderate
2025-06-20 19:00:00+00:00,2025-06-20 19:30:00+00:00,166,165,moderate
2025-06-20 19:30:00+00:00,2025-06-20 20:00:00+00:00,168,167,moderate
2025-06-20 20:00:00+00:00,2025-06-20 20:30:00+00:00,173,165,moderate
2025-06-20 20:30:00+00:00,2025-06-20 21:00:00+00:00,172,159,moderate
2025-06-20 21:00:00+00:00,2025-06-20 21:30:00+00:00,165,150,moderate
2025-06-20 21:30:00+00:00,2025-06-20 22:00:00+00:00,161,134,moderate
2025-06-20 22:00:00+00:00,2025-06-20 22:30:00+00:00,136,122,moderate
2025-06-20 22:30:00+00:00,2025-06-20 23:00:00+00:00,117,114,moderate
2025-06-20 23:00:00+00:00,2025-06-20 23:30:00+00:00,105,107,moderate
2025-06-20 23:30:00+00:00,2025-06-21 00:00:00+00:00,94,96,low
2025-06-21 00:00:00+00:00,2025-06-21 00:30:00+00:00,94,90,low
2025-06-21 00:30:00+00:00,2025-06-21 01:00:00+00:00,94,87,low
2025-06-21 01:00:00+00:00,2025-06-21 01:30:00+00:00,92,83,low
2025-06-21 01:30:00+00:00,2025-06-21 02:00:00+00:00,90,74,low
2025-06-21 02:00:00+00:00,2025-06-21 02:30:00+00:00,84,73,low
2025-06-21 02:30:00+00:00,2025-06-21 03:00:00+00:00,75,74,low
2025-06-21 03:00:00+00:00,2025-06-21 03:30:00+00:00,75,73,low
2025-06-21 03:30:00+00:00,2025-06-21 04:00:00+00:00,75,72,low
2025-06-21 04:00:00+00:00,2025-06-21 04:30:00+00:00,73,70,low
2025-06-21 04:30:00+00:00,2025-06-21 05:00:00+00:00,74,74,low
2025-06-21 05:00:00+00:00,2025-06-21 05:30:00+00:00,70,72,low
2025-06-21 05:30:00+00:00,2025-06-21 06:00:00+00:00,72,82,low
2025-06-21 06:00:00+00:00,2025-06-21 06:30:00+00:00,75,78,low
2025-06-21 06:30:00+00:00,2025-06-21 07:00:00+00:00,79,72,low
2025-06-21 07:00:00+00:00,2025-06-21 07:30:00+00:00,79,70,low
2025-06-21 07:30:00+00:00,2025-06-21 08:00:00+00:00,71,76,low
2025-06-21 08:00:00+00:00,2025-06-21 08:30:00+00:00,66,74,low
2025-06-21 08:30:00+00:00,2025-06-21 09:00:00+00:00,68,73,low
2025-06-21 09:00:00+00:00,2025-06-21 09:30:00+00:00,66,76,low
2025-06-21 09:30:00+00:00,2025-06-21 10:00:00+00:00,68,87,low
2025-06-21 10:00:00+00:00,2025-06-21 10:30:00+00:00,72,89,low
2025-06-21 10:30:00+00:00,2025-06-21 11:00:00+00:00,83,85,low
2025-06-21 11:00:00+00:00,2025-06-21 11:30:00+00:00,81,85,low
2025-06-21 11:30:00+00:00,2025-06-21 12:00:00+00:00,84,92,low
2025-06-21 12:00:00+00:00,2025-06-21 12:30:00+00:00,82,92,low
2025-06-21 12:30:00+00:00,2025-06-21 13:00:00+00:00,88,94,low
2025-06-21 13:00:00+00:00,2025-06-21 13:30:00+00:00,85,92,low
2025-06-21 13:30:00+00:00,2025-06-21 14:00:00+00:00,90,91,low
2025-06-21 14:00:00+00:00,2025-06-21 14:30:00+00:00,94,89,low
2025-06-21 14:30:00+00:00,2025-06-21 15:00:00+00:00,90,87,low
2025-06-21 15:00:00+00:00,2025-06-21 15:30:00+00:00,88,91,low
2025-06-21 15:30:00+00:00,2025-06-21 16:00:00+00:00,91,94,low
2025-06-21 16:00:00+00:00,2025-06-21 16:30:00+00:00,83,104,moderate
2025-06-21 16:30:00+00:00,2025-06-21 17:00:00+00:00,92,114,moderate
2025-06-21 17:00:00+00:00,2025-06-21 17:30:00+00:00,104,115,moderate
2025-06-21 17:30:00+00:00,2025-06-21 18:00:00+00:00,109,125,moderate
2025-06-21 18:00:00+00:00,2025-06-21 18:30:00+00:00,115,128,moderate
2025-06-21 18:30:00+00:00,2025-06-21 19:00:00+00:00,115,129,moderate
2025-06-21 19:00:00+00:00,2025-06-21 19:30:00+00:00,120,125,moderate
2025-06-21 19:30:00+00:00,2025-06-21 20:00:00+00:00,122,126,moderate
2025-06-21 20:00:00+00:00,2025-06-21 20:30:00+00:00,117,125,moderate
2025-06-21 20:30:00+00:00,2025-06-21 21:00:00+00:00,118,116,moderate
2025-06-21 21:00:00+00:00,2025-06-21 21:30:00+00:00,111,112,moderate
2025-06-21 21:30:00+00:00,2025-06-21 22:00:00+00:00,104,87,low
2025-06-21 22:00:00+00:00,2025-06-21 22:30:00+00:00,97,72,low
2025-06-21 22:30:00+00:00,2025-06-21 23:00:00+00:00,85,67,low
2025-06-21 23:00:00+00:00,2025-06-21 23:30:00+00:00,76,59,low
2025-06-21 23:30:00+00:00,2025-06-22 00:00:00+00:00,75,58,low
2025-06-22 00:00:00+00:00,2025-06-22 00:30:00+00:00,56,55,low
2025-06-22 00:30:00+00:00,2025-06-22 01:00:00+00:00,54,57,low
2025-06-22 01:00:00+00:00,2025-06-22 01:30:00+00:00,55,57,low
2025-06-22 01:30:00+00:00,2025-06-22 02:00:00+00:00,55,57,low
2025-06-22 02:00:00+00:00,2025-06-22 02:30:00+00:00,56,56,low
2025-06-22 02:30:00+00:00,2025-06-22 03:00:00+00:00,59,59,low
2025-06-22 03:00:00+00:00,2025-06-22 03:30:00+00:00,58,58,low
2025-06-22 03:30:00+00:00,2025-06-22 04:00:00+00:00,60,60,low
2025-06-22 04:00:00+00:00,2025-06-22 04:30:00+00:00,58,63,low
2025-06-22 04:30:00+00:00,2025-06-22 05:00:00+00:00,56,65,low
2025-06-22 05:00:00+00:00,2025-06-22 05:30:00+00:00,57,62,low
2025-06-22 05:30:00+00:00,2025-06-22 06:00:00+00:00,59,59,low
2025-06-22 06:00:00+00:00,2025-06-22 06:30:00+00:00,53,58,low
2025-06-22 06:30:00+00:00,2025-06-22 07:00:00+00:00,51,61,low
2025-06-22 07:00:00+00:00,2025-06-22 07:30:00+00:00,51,58,low
2025-06-22 07:30:00+00:00,2025-06-22 08:00:00+00:00,51,53,low
2025-06-22 08:00:00+00:00,2025-06-22 08:30:00+00:00,46,52,low
2025-06-22 08:30:00+00:00,2025-06-22 09:00:00+00:00,44,48,low
2025-06-22 09:00:00+00:00,2025-06-22 09:30:00+00:00,43,47,low
2025-06-22 09:30:00+00:00,2025-06-22 10:00:00+00:00,41,46,low
2025-06-22 10:00:00+00:00,2025-06-22 10:30:00+00:00,39,45,low
2025-06-22 10:30:00+00:00,2025-06-22 11:00:00+00:00,38,43,low
2025-06-22 11:00:00+00:00,2025-06-22 11:30:00+00:00,37,42,low
2025-06-22 11:30:00+00:00,2025-06-22 12:00:00+00:00,37,42,low
2025-06-22 12:00:00+00:00,2025-06-22 12:30:00+00:00,35,39,low
2025-06-22 12:30:00+00:00,2025-06-22 13:00:00+00:00,34,38,low
2025-06-22 13:00:00+00:00,2025-06-22 13:30:00+00:00,34,37,low
2025-06-22 13:30:00+00:00,2025-06-22 14:00:00+00:00,31,39,low
2025-06-22 14:00:00+00:00,2025-06-22 14:30:00+00:00,31,35,low
2025-06-22 14:30:00+00:00,2025-06-22 15:00:00+00:00,32,37,low
2025-06-22 15:00:00+00:00,2025-06-22 15:30:00+00:00,31,48,low
2025-06-22 15:30:00+00:00,2025-06-22 16:00:00+00:00,33,48,low
2025-06-22 16:00:00+00:00,2025-06-22 16:30:00+00:00,43,52,low
2025-06-22 16:30:00+00:00,2025-06-22 17:00:00+00:00,47,56,low
2025-06-22 17:00:00+00:00,2025-06-22 17:30:00+00:00,54,60,low
